,Seed,Samples,Score,PRECISION,RECALL,V PRECISION,V RECALL
93,4,800,L2-DN,1.0,0.15384615384615385,0.0,0.0
94,4,800,L2,0.0,0.0,0.0,0.0
95,4,800,BIC,0.0,0.0,0.0,0.0
96,4,1600,L2-DN,1.0,0.38461538461538464,0.0,0.0
97,4,1600,L2,1.0,0.23076923076923078,0.0,0.0
98,4,1600,BIC,1.0,0.15384615384615385,0.0,0.0
99,4,3200,L2-DN,0.8888888888888888,0.6153846153846154,0.0,0.0
100,4,3200,L2,0.8571428571428571,0.46153846153846156,0.0,0.0
101,4,3200,BIC,1.0,0.46153846153846156,0.0,0.0
102,4,6400,L2-DN,0.7692307692307693,0.7692307692307693,0.0,0.0
103,4,6400,L2,0.9090909090909091,0.7692307692307693,0.0,0.0
104,4,6400,BIC,0.9,0.6923076923076923,1.0,0.16666666666666666
105,5,100,L2-DN,0.0,0.0,0.0,0.0
106,5,100,L2,0.0,0.0,0.0,0.0
107,5,100,BIC,0.0,0.0,0.0,0.0
108,5,200,L2-DN,0.0,0.0,0.0,0.0
109,5,200,L2,0.0,0.0,0.0,0.0
110,5,200,BIC,0.0,0.0,0.0,0.0
111,5,400,L2-DN,0.0,0.0,0.0,0.0
112,5,400,L2,0.0,0.0,0.0,0.0
113,5,400,BIC,0.0,0.0,0.0,0.0
114,5,800,L2-DN,1.0,0.07692307692307693,0.0,0.0
115,5,800,L2,0.0,0.0,0.0,0.0
116,5,800,BIC,0.0,0.0,0.0,0.0
117,5,1600,L2-DN,1.0,0.23076923076923078,0.0,0.0
118,5,1600,L2,0.0,0.0,0.0,0.0
119,5,1600,BIC,1.0,0.07692307692307693,0.0,0.0
120,5,3200,L2-DN,1.0,0.5384615384615384,0.0,0.0
121,5,3200,L2,1.0,0.23076923076923078,0.0,0.0
122,5,3200,BIC,1.0,0.46153846153846156,0.0,0.0
123,5,6400,L2-DN,1.0,0.8461538461538461,0.5,0.2
124,5,6400,L2,1.0,0.6923076923076923,0.0,0.0
125,5,6400,BIC,1.0,0.8461538461538461,0.5,0.2
126,6,100,L2-DN,0.0,0.0,0.0,0.0
127,6,100,L2,0.0,0.0,0.0,0.0
128,6,100,BIC,0.0,0.0,0.0,0.0
129,6,200,L2-DN,0.0,0.0,0.0,0.0
130,6,200,L2,0.0,0.0,0.0,0.0
131,6,200,BIC,0.0,0.0,0.0,0.0
132,6,400,L2-DN,0.0,0.0,0.0,0.0
133,6,400,L2,0.0,0.0,0.0,0.0
134,6,400,BIC,0.0,0.0,0.0,0.0
135,6,800,L2-DN,1.0,0.23076923076923078,0.0,0.0
136,6,800,L2,0.0,0.0,0.0,0.0
137,6,800,BIC,0.0,0.0,0.0,0.0
138,6,1600,L2-DN,1.0,0.46153846153846156,0.0,0.0
139,6,1600,L2,1.0,0.23076923076923078,0.0,0.0
140,6,1600,BIC,0.0,0.0,0.0,0.0
141,6,3200,L2-DN,0.8,0.6153846153846154,0.0,0.0
142,6,3200,L2,1.0,0.6153846153846154,0.0,0.0
143,6,3200,BIC,1.0,0.6153846153846154,0.0,0.0
144,6,6400,L2-DN,0.8333333333333334,0.7692307692307693,0.5,0.16666666666666666
145,6,6400,L2,0.9,0.6923076923076923,0.0,0.0
146,6,6400,BIC,1.0,0.7692307692307693,1.0,0.16666666666666666
147,7,100,L2-DN,0.0,0.0,0.0,0.0
148,7,100,L2,0.0,0.0,0.0,0.0
149,7,100,BIC,0.0,0.0,0.0,0.0
150,7,200,L2-DN,0.0,0.0,0.0,0.0
151,7,200,L2,0.0,0.0,0.0,0.0
152,7,200,BIC,0.0,0.0,0.0,0.0
153,7,400,L2-DN,0.0,0.0,0.0,0.0
154,7,400,L2,0.0,0.0,0.0,0.0
155,7,400,BIC,0.0,0.0,0.0,0.0
156,7,800,L2-DN,1.0,0.16666666666666666,0.0,0.0
157,7,800,L2,0.0,0.0,0.0,0.0
158,7,800,BIC,0.0,0.0,0.0,0.0
159,7,1600,L2-DN,1.0,0.16666666666666666,0.0,0.0
160,7,1600,L2,0.0,0.0,0.0,0.0
161,7,1600,BIC,0.0,0.0,0.0,0.0
162,7,3200,L2-DN,1.0,0.5,0.0,0.0
163,7,3200,L2,1.0,0.16666666666666666,0.0,0.0
164,7,3200,BIC,1.0,0.16666666666666666,0.0,0.0
165,7,6400,L2-DN,0.9,0.75,0.0,0.0
166,7,6400,L2,1.0,0.75,0.0,0.0
167,7,6400,BIC,0.8888888888888888,0.6666666666666666,0.0,0.0
168,8,100,L2-DN,0.0,0.0,0.0,0.0
169,8,100,L2,0.0,0.0,0.0,0.0
170,8,100,BIC,0.0,0.0,0.0,0.0
171,8,200,L2-DN,0.0,0.0,0.0,0.0
172,8,200,L2,0.0,0.0,0.0,0.0
173,8,200,BIC,0.0,0.0,0.0,0.0
174,8,400,L2-DN,0.0,0.0,0.0,0.0
175,8,400,L2,0.0,0.0,0.0,0.0
176,8,400,BIC,0.0,0.0,0.0,0.0
177,8,800,L2-DN,0.0,0.0,0.0,0.0
178,8,800,L2,0.0,0.0,0.0,0.0
179,8,800,BIC,0.0,0.0,0.0,0.0
180,8,1600,L2-DN,1.0,0.3333333333333333,0.0,0.0
181,8,1600,L2,1.0,0.25,0.0,0.0
182,8,1600,BIC,1.0,0.3333333333333333,0.0,0.0
183,8,3200,L2-DN,0.7777777777777778,0.5833333333333334,0.0,0.0
184,8,3200,L2,0.8333333333333334,0.4166666666666667,0.0,0.0
185,8,3200,BIC,1.0,0.75,0.0,0.0
186,8,6400,L2-DN,0.9166666666666666,0.9166666666666666,1.0,0.4
187,8,6400,L2,1.0,0.8333333333333334,1.0,0.2
188,8,6400,BIC,0.8333333333333334,0.8333333333333334,0.5,0.2
189,9,100,L2-DN,0.0,0.0,0.0,0.0
190,9,100,L2,0.0,0.0,0.0,0.0
191,9,100,BIC,0.0,0.0,0.0,0.0
192,9,200,L2-DN,0.0,0.0,0.0,0.0
193,9,200,L2,0.0,0.0,0.0,0.0
194,9,200,BIC,0.0,0.0,0.0,0.0
195,9,400,L2-DN,0.0,0.0,0.0,0.0
196,9,400,L2,0.0,0.0,0.0,0.0
197,9,400,BIC,0.0,0.0,0.0,0.0
198,9,800,L2-DN,0.0,0.0,0.0,0.0
199,9,800,L2,0.0,0.0,0.0,0.0
200,9,800,BIC,0.0,0.0,0.0,0.0
201,9,1600,L2-DN,0.0,0.0,0.0,0.0
202,9,1600,L2,0.0,0.0,0.0,0.0
203,9,1600,BIC,0.0,0.0,0.0,0.0
204,9,3200,L2-DN,1.0,0.2727272727272727,0.0,0.0
205,9,3200,L2,1.0,0.09090909090909091,0.0,0.0
206,9,3200,BIC,1.0,0.18181818181818182,0.0,0.0
207,9,6400,L2-DN,0.8888888888888888,0.7272727272727273,0.0,0.0
208,9,6400,L2,1.0,0.36363636363636365,0.0,0.0
209,9,6400,BIC,0.8888888888888888,0.7272727272727273,0.0,0.0
