,Seed,Samples,L1 V RECALL,BIC V RECALL,L1 SKEL RECALL,BIC SKEL RECALL
0,0,100,0.0,0.0,0.0,0.0
1,0,200,0.0,0.0,0.38461538461538464,0.0
2,0,400,0.0,0.0,0.6153846153846154,0.0
3,0,800,0.0,0.0,0.5384615384615384,0.23076923076923078
4,0,1600,1.0,0.0,0.9230769230769231,0.6923076923076923
5,0,3200,0.6666666666666666,0.0,0.7692307692307693,0.7692307692307693
6,1,100,0.0,0.0,0.21428571428571427,0.0
7,1,200,0.0,0.0,0.35714285714285715,0.0
8,1,400,0.2,0.0,0.6428571428571429,0.07142857142857142
9,1,800,0.0,0.0,0.7142857142857143,0.2857142857142857
10,1,1600,0.2,0.2,0.8571428571428571,0.7142857142857143
11,1,3200,0.4,0.4,0.9285714285714286,0.9285714285714286
12,2,100,0.0,0.0,0.15384615384615385,0.0
13,2,200,0.2,0.0,0.3076923076923077,0.0
14,2,400,0.4,0.0,0.8461538461538461,0.0
15,2,800,0.4,0.0,0.8461538461538461,0.07692307692307693
16,2,1600,0.2,0.0,0.6923076923076923,0.23076923076923078
17,2,3200,0.2,0.4,0.8461538461538461,0.9230769230769231
18,3,100,0.0,0.0,0.38461538461538464,0.0
19,3,200,0.0,0.0,0.6153846153846154,0.0
20,3,400,0.0,0.0,0.6923076923076923,0.0
21,3,800,0.6,0.0,0.9230769230769231,0.46153846153846156
22,3,1600,0.2,0.0,0.7692307692307693,0.6153846153846154
23,3,3200,0.4,0.6,0.8461538461538461,0.9230769230769231
24,4,100,0.0,0.0,0.23076923076923078,0.0
25,4,200,0.0,0.0,0.3076923076923077,0.0
26,4,400,0.16666666666666666,0.0,0.5384615384615384,0.0
27,4,800,0.16666666666666666,0.0,0.7692307692307693,0.38461538461538464
28,4,1600,0.5,0.0,0.9230769230769231,0.6923076923076923
29,4,3200,0.16666666666666666,0.3333333333333333,0.7692307692307693,0.8461538461538461
30,5,100,0.0,0.0,0.38461538461538464,0.0
31,5,200,0.2,0.0,0.46153846153846156,0.0
32,5,400,0.0,0.0,0.46153846153846156,0.0
33,5,800,0.2,0.0,0.6923076923076923,0.3076923076923077
34,5,1600,0.4,0.0,0.7692307692307693,0.6153846153846154
35,5,3200,0.6,0.0,0.9230769230769231,0.7692307692307693
36,6,100,0.0,0.0,0.0,0.0
37,6,200,0.0,0.0,0.3076923076923077,0.0
38,6,400,0.0,0.0,0.5384615384615384,0.0
39,6,800,0.0,0.0,0.6153846153846154,0.3076923076923077
40,6,1600,0.16666666666666666,0.0,0.7692307692307693,0.46153846153846156
41,6,3200,0.16666666666666666,0.3333333333333333,0.7692307692307693,0.7692307692307693
42,7,100,0.0,0.0,0.08333333333333333,0.0
43,7,200,0.0,0.0,0.3333333333333333,0.0
44,7,400,0.2,0.0,0.6666666666666666,0.0
45,7,800,0.2,0.0,0.8333333333333334,0.08333333333333333
46,7,1600,0.0,0.0,0.75,0.6666666666666666
47,7,3200,0.2,0.2,0.75,0.75
48,8,100,0.0,0.0,0.0,0.0
49,8,200,0.0,0.0,0.4166666666666667,0.0
50,8,400,0.0,0.0,0.5833333333333334,0.16666666666666666
51,8,800,0.0,0.0,0.4166666666666667,0.25
52,8,1600,0.2,0.0,0.8333333333333334,0.6666666666666666
53,8,3200,0.2,0.2,0.8333333333333334,0.75
54,9,100,0.0,0.0,0.2727272727272727,0.0
55,9,200,0.0,0.0,0.5454545454545454,0.0
56,9,400,0.0,0.0,0.5454545454545454,0.18181818181818182
57,9,800,0.5,0.0,0.8181818181818182,0.36363636363636365
58,9,1600,0.5,0.0,0.9090909090909091,0.6363636363636364
59,9,3200,1.0,0.5,0.8181818181818182,0.9090909090909091
