,Seed,Samples,Score,PRECISION,RECALL,V PRECISION,V RECALL,DAG PRECISION,DAG RECALL
0,0,1000,L2-DN,0.8,0.6153846153846154,1.0,0.3333333333333333,0.6,0.46153846153846156
1,0,1000,L2,1.0,0.46153846153846156,0.0,0.0,0.6666666666666666,0.3076923076923077
2,0,1000,BIC,1.0,0.15384615384615385,0.0,0.0,0.5,0.07692307692307693
3,0,2000,L2-DN,1.0,0.9230769230769231,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6153846153846154
4,0,2000,L2,1.0,0.7692307692307693,1.0,0.3333333333333333,0.7,0.5384615384615384
5,0,2000,BIC,1.0,0.38461538461538464,0.0,0.0,0.8,0.3076923076923077
6,0,3000,L2-DN,0.8,0.9230769230769231,0.4,0.6666666666666666,0.5333333333333333,0.6153846153846154
7,0,3000,L2,0.9,0.6923076923076923,1.0,0.3333333333333333,0.6,0.46153846153846156
8,0,3000,BIC,1.0,0.6923076923076923,0.0,0.0,0.7777777777777778,0.5384615384615384
9,0,4000,L2-DN,0.7647058823529411,1.0,0.6666666666666666,0.6666666666666666,0.5882352941176471,0.7692307692307693
10,0,4000,L2,1.0,0.9230769230769231,1.0,1.0,0.8333333333333334,0.7692307692307693
11,0,4000,BIC,1.0,0.8461538461538461,1.0,0.3333333333333333,0.7272727272727273,0.6153846153846154
12,0,5000,L2-DN,0.7058823529411765,0.9230769230769231,0.3333333333333333,0.3333333333333333,0.5294117647058824,0.6923076923076923
13,0,5000,L2,1.0,0.9230769230769231,1.0,0.6666666666666666,0.75,0.6923076923076923
14,0,5000,BIC,0.9,0.6923076923076923,1.0,0.3333333333333333,0.7,0.5384615384615384
15,1,1000,L2-DN,0.8,0.5714285714285714,0.0,0.0,0.4,0.2857142857142857
16,1,1000,L2,1.0,0.5,0.0,0.0,0.42857142857142855,0.21428571428571427
17,1,1000,BIC,1.0,0.2857142857142857,0.0,0.0,0.25,0.07142857142857142
18,1,2000,L2-DN,0.9230769230769231,0.8571428571428571,1.0,0.2,0.46153846153846156,0.42857142857142855
19,1,2000,L2,1.0,0.7142857142857143,1.0,0.2,0.5,0.35714285714285715
20,1,2000,BIC,1.0,0.5,0.0,0.0,0.42857142857142855,0.21428571428571427
21,1,3000,L2-DN,0.8,0.8571428571428571,0.3333333333333333,0.2,0.5333333333333333,0.5714285714285714
22,1,3000,L2,0.9090909090909091,0.7142857142857143,1.0,0.2,0.5454545454545454,0.42857142857142855
23,1,3000,BIC,1.0,0.7142857142857143,1.0,0.2,0.6,0.42857142857142855
24,1,4000,L2-DN,0.7647058823529411,0.9285714285714286,0.5,0.2,0.5294117647058824,0.6428571428571429
25,1,4000,L2,1.0,0.8571428571428571,1.0,0.4,0.6666666666666666,0.5714285714285714
26,1,4000,BIC,0.9090909090909091,0.7142857142857143,1.0,0.2,0.5454545454545454,0.42857142857142855
27,1,5000,L2-DN,0.7647058823529411,0.9285714285714286,0.5,0.2,0.47058823529411764,0.5714285714285714
28,1,5000,L2,0.9230769230769231,0.8571428571428571,1.0,0.2,0.5384615384615384,0.5
29,1,5000,BIC,0.9166666666666666,0.7857142857142857,1.0,0.2,0.6666666666666666,0.5714285714285714
30,2,1000,L2-DN,0.4444444444444444,0.3076923076923077,0.0,0.0,0.2222222222222222,0.15384615384615385
