,Seed,Samples,L2 PRECISION,L2 RECALL,L2 V PRECISION,L2 V RECALL,BIC PRECISION,BIC RECALL,BIC V PRECISION,BIC V RECALL
57,8,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,8,400,0.7777777777777778,0.5833333333333334,0.0,0.0,1.0,0.16666666666666666,0.0,0.0
59,8,800,0.5,0.4166666666666667,0.0,0.0,1.0,0.25,0.0,0.0
60,8,1600,0.9,0.75,0.0,0.0,0.8888888888888888,0.6666666666666666,0.0,0.0
61,8,3200,0.9,0.75,0.0,0.0,0.7692307692307693,0.8333333333333334,0.6666666666666666,0.4
62,8,6400,1.0,0.8333333333333334,1.0,0.2,0.6470588235294118,0.9166666666666666,1.0,0.4
63,9,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,9,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,9,400,0.6666666666666666,0.5454545454545454,0.0,0.0,1.0,0.18181818181818182,0.0,0.0
66,9,800,0.8,0.7272727272727273,1.0,0.5,1.0,0.36363636363636365,0.0,0.0
67,9,1600,0.9,0.8181818181818182,0.0,0.0,0.7777777777777778,0.6363636363636364,0.0,0.0
68,9,3200,0.8,0.7272727272727273,1.0,0.5,0.8461538461538461,1.0,1.0,1.0
69,9,6400,0.8,0.7272727272727273,0.0,0.0,0.6470588235294118,1.0,1.0,1.0
