,Seed,Samples,Score,PRECISION,RECALL,V PRECISION,V RECALL,DAG PRECISION,DAG RECALL,HAMMING,SCALED HAMMING,SHD,SCALED SHD
0,0,1600,BDeu,0.3695652173913043,0.3487179487179487,0.021505376344086023,0.125,0.2712765957446808,0.26153846153846155,243,1.2461538461538462,263,1.3487179487179488
1,0,1600,WMSE,0.22033898305084745,0.2,0.0,0.0,0.16483516483516483,0.15384615384615385,294,1.5076923076923077,307,1.5743589743589743
2,0,1600,BIC,0.0375,0.015384615384615385,0.0,0.0,0.019801980198019802,0.010256410256410256,269,1.3794871794871795,270,1.3846153846153846
3,0,1600,qNML,0.04395604395604396,0.020512820512820513,0.0,0.0,0.02654867256637168,0.015384615384615385,278,1.4256410256410257,280,1.435897435897436
4,0,3200,BDeu,0.4074074074074074,0.39487179487179486,0.022988505747126436,0.125,0.3076923076923077,0.3076923076923077,230,1.1794871794871795,250,1.2820512820512822
5,0,3200,WMSE,0.21674876847290642,0.22564102564102564,0.0,0.0,0.13270142180094788,0.14358974358974358,310,1.5897435897435896,329,1.6871794871794872
6,0,3200,BIC,0.03773584905660377,0.020512820512820513,0.0,0.0,0.015267175572519083,0.010256410256410256,293,1.5025641025641026,295,1.5128205128205128
7,0,3200,qNML,0.03787878787878788,0.02564102564102564,0.0,0.0,0.01775147928994083,0.015384615384615385,317,1.6256410256410256,320,1.641025641025641
8,0,6400,BDeu,0.5138121546961326,0.47692307692307695,0.011363636363636364,0.0625,0.4095744680851064,0.39487179487179486,190,0.9743589743589743,210,1.0769230769230769
9,0,6400,WMSE,0.23293172690763053,0.29743589743589743,0.0,0.0,0.14859437751004015,0.18974358974358974,328,1.682051282051282,349,1.7897435897435898
10,0,6400,BIC,0.046875,0.03076923076923077,0.0,0.0,0.02877697841726619,0.020512820512820513,311,1.594871794871795,313,1.6051282051282052
11,0,6400,qNML,0.0425531914893617,0.03076923076923077,0.0,0.0,0.025157232704402517,0.020512820512820513,324,1.6615384615384616,326,1.6717948717948719
12,0,12800,BDeu,0.5284974093264249,0.5230769230769231,0.01,0.0625,0.4271356783919598,0.4358974358974359,184,0.9435897435897436,204,1.0461538461538462
13,0,12800,WMSE,0.19155844155844157,0.30256410256410254,0.0,0.0,0.12179487179487179,0.19487179487179487,385,1.9743589743589745,407,2.0871794871794873
14,0,12800,BIC,0.033783783783783786,0.02564102564102564,0.0,0.0,0.025806451612903226,0.020512820512820513,333,1.7076923076923076,334,1.7128205128205127
15,0,12800,qNML,0.03333333333333333,0.02564102564102564,0.0,0.0,0.024539877300613498,0.020512820512820513,335,1.7179487179487178,336,1.7230769230769232
