,Seed,Samples,Score,PRECISION,RECALL,V PRECISION,V RECALL,DAG PRECISION,DAG RECALL
0,0,1000,L2-DN,0.8,0.6153846153846154,1.0,0.3333333333333333,0.4,0.3076923076923077
1,0,1000,L2,1.0,0.23076923076923078,0.0,0.0,0.3333333333333333,0.07692307692307693
2,0,1000,BIC,0.0,0.0,0.0,0.0,0.0,0.0
3,0,2000,L2-DN,0.8181818181818182,0.6923076923076923,1.0,0.3333333333333333,0.36363636363636365,0.3076923076923077
4,0,2000,L2,1.0,0.38461538461538464,0.0,0.0,0.6,0.23076923076923078
5,0,2000,BIC,1.0,0.23076923076923078,0.0,0.0,0.6666666666666666,0.15384615384615385
6,0,3000,L2-DN,0.7692307692307693,0.7692307692307693,0.5,0.3333333333333333,0.23076923076923078,0.23076923076923078
7,0,3000,L2,0.8888888888888888,0.6153846153846154,0.0,0.0,0.2222222222222222,0.15384615384615385
8,0,3000,BIC,1.0,0.46153846153846156,0.0,0.0,0.5,0.23076923076923078
9,0,4000,L2-DN,0.8,0.9230769230769231,0.0,0.0,0.4,0.46153846153846156
10,0,4000,L2,1.0,0.7692307692307693,1.0,0.3333333333333333,0.5,0.38461538461538464
11,0,4000,BIC,1.0,0.6923076923076923,0.0,0.0,0.3333333333333333,0.23076923076923078
12,0,5000,L2-DN,0.5,0.6153846153846154,0.0,0.0,0.1875,0.23076923076923078
13,0,5000,L2,0.7,0.5384615384615384,0.0,0.0,0.3,0.23076923076923078
14,0,5000,BIC,1.0,0.6923076923076923,0.0,0.0,0.3333333333333333,0.23076923076923078
15,1,1000,L2-DN,0.5,0.35714285714285715,0.0,0.0,0.3,0.21428571428571427
16,1,1000,L2,0.75,0.21428571428571427,0.0,0.0,0.25,0.07142857142857142
17,1,1000,BIC,1.0,0.14285714285714285,0.0,0.0,0.0,0.0
18,1,2000,L2-DN,0.8181818181818182,0.6428571428571429,0.0,0.0,0.36363636363636365,0.2857142857142857
19,1,2000,L2,1.0,0.42857142857142855,0.0,0.0,0.5,0.21428571428571427
20,1,2000,BIC,1.0,0.14285714285714285,0.0,0.0,0.5,0.07142857142857142
21,1,3000,L2-DN,0.7692307692307693,0.7142857142857143,0.0,0.0,0.46153846153846156,0.42857142857142855
22,1,3000,L2,1.0,0.6428571428571429,0.0,0.0,0.6666666666666666,0.42857142857142855
23,1,3000,BIC,1.0,0.42857142857142855,0.0,0.0,0.6666666666666666,0.2857142857142857
24,1,4000,L2-DN,0.6875,0.7857142857142857,0.5,0.2,0.4375,0.5
25,1,4000,L2,0.8181818181818182,0.6428571428571429,1.0,0.2,0.5454545454545454,0.42857142857142855
26,1,4000,BIC,1.0,0.6428571428571429,0.0,0.0,0.7777777777777778,0.5
27,1,5000,L2-DN,0.7058823529411765,0.8571428571428571,0.5,0.4,0.5294117647058824,0.6428571428571429
28,1,5000,L2,0.9090909090909091,0.7142857142857143,0.5,0.2,0.6363636363636364,0.5
29,1,5000,BIC,1.0,0.6428571428571429,0.0,0.0,0.7777777777777778,0.5
30,2,1000,L2-DN,0.8888888888888888,0.6153846153846154,0.0,0.0,0.2222222222222222,0.15384615384615385
31,2,1000,L2,0.75,0.23076923076923078,0.0,0.0,0.25,0.07692307692307693
32,2,1000,BIC,0.0,0.0,0.0,0.0,0.0,0.0
33,2,2000,L2-DN,0.7272727272727273,0.6153846153846154,0.0,0.0,0.18181818181818182,0.15384615384615385
34,2,2000,L2,1.0,0.38461538461538464,0.0,0.0,0.0,0.0
35,2,2000,BIC,0.0,0.0,0.0,0.0,0.0,0.0
36,2,3000,L2-DN,0.7857142857142857,0.8461538461538461,0.0,0.0,0.35714285714285715,0.38461538461538464
37,2,3000,L2,0.9,0.6923076923076923,0.0,0.0,0.4,0.3076923076923077
38,2,3000,BIC,1.0,0.38461538461538464,0.0,0.0,0.6,0.23076923076923078
39,2,4000,L2-DN,0.8,0.9230769230769231,0.5,0.2,0.2,0.23076923076923078
40,2,4000,L2,0.9090909090909091,0.7692307692307693,0.5,0.2,0.2727272727272727,0.23076923076923078
41,2,4000,BIC,1.0,0.6153846153846154,0.0,0.0,0.5,0.3076923076923077
42,2,5000,L2-DN,0.6470588235294118,0.8461538461538461,0.0,0.0,0.35294117647058826,0.46153846153846156
43,2,5000,L2,0.8333333333333334,0.7692307692307693,0.0,0.0,0.4166666666666667,0.38461538461538464
44,2,5000,BIC,0.8,0.6153846153846154,0.0,0.0,0.5,0.38461538461538464
45,3,1000,L2-DN,0.6666666666666666,0.46153846153846156,0.0,0.0,0.3333333333333333,0.23076923076923078
46,3,1000,L2,1.0,0.15384615384615385,0.0,0.0,0.0,0.0
47,3,1000,BIC,0.0,0.0,0.0,0.0,0.0,0.0
48,3,2000,L2-DN,0.8181818181818182,0.6923076923076923,0.0,0.0,0.45454545454545453,0.38461538461538464
49,3,2000,L2,1.0,0.6153846153846154,0.0,0.0,0.625,0.38461538461538464
50,3,2000,BIC,1.0,0.07692307692307693,0.0,0.0,1.0,0.07692307692307693
51,3,3000,L2-DN,0.7692307692307693,0.7692307692307693,0.3333333333333333,0.2,0.5384615384615384,0.5384615384615384
52,3,3000,L2,0.7777777777777778,0.5384615384615384,0.0,0.0,0.6666666666666666,0.46153846153846156
53,3,3000,BIC,1.0,0.3076923076923077,0.0,0.0,0.75,0.23076923076923078
54,3,4000,L2-DN,0.6,0.6923076923076923,0.0,0.0,0.3333333333333333,0.38461538461538464
55,3,4000,L2,0.9,0.6923076923076923,0.0,0.0,0.5,0.38461538461538464
56,3,4000,BIC,1.0,0.6153846153846154,0.0,0.0,0.625,0.38461538461538464
57,3,5000,L2-DN,0.6470588235294118,0.8461538461538461,0.5,0.4,0.4117647058823529,0.5384615384615384
58,3,5000,L2,0.9090909090909091,0.7692307692307693,0.5,0.2,0.5454545454545454,0.46153846153846156
59,3,5000,BIC,0.8888888888888888,0.6153846153846154,0.0,0.0,0.5555555555555556,0.38461538461538464
60,4,1000,L2-DN,0.7777777777777778,0.5384615384615384,0.0,0.0,0.4444444444444444,0.3076923076923077
61,4,1000,L2,0.0,0.0,0.0,0.0,0.0,0.0
62,4,1000,BIC,0.0,0.0,0.0,0.0,0.0,0.0
63,4,2000,L2-DN,0.7272727272727273,0.6153846153846154,0.0,0.0,0.2727272727272727,0.23076923076923078
64,4,2000,L2,1.0,0.46153846153846156,0.0,0.0,0.5,0.23076923076923078
65,4,2000,BIC,1.0,0.15384615384615385,0.0,0.0,0.5,0.07692307692307693
66,4,3000,L2-DN,0.8461538461538461,0.8461538461538461,0.3333333333333333,0.16666666666666666,0.46153846153846156,0.46153846153846156
67,4,3000,L2,1.0,0.6923076923076923,0.0,0.0,0.5555555555555556,0.38461538461538464
68,4,3000,BIC,1.0,0.07692307692307693,0.0,0.0,1.0,0.07692307692307693
69,4,4000,L2-DN,0.625,0.7692307692307693,0.0,0.0,0.3125,0.38461538461538464
70,4,4000,L2,0.8181818181818182,0.6923076923076923,0.0,0.0,0.36363636363636365,0.3076923076923077
71,4,4000,BIC,1.0,0.5384615384615384,0.0,0.0,0.42857142857142855,0.23076923076923078
72,4,5000,L2-DN,0.7058823529411765,0.9230769230769231,0.25,0.16666666666666666,0.4117647058823529,0.5384615384615384
73,4,5000,L2,0.9090909090909091,0.7692307692307693,0.0,0.0,0.5454545454545454,0.46153846153846156
74,4,5000,BIC,1.0,0.6153846153846154,0.0,0.0,0.5,0.3076923076923077
75,5,1000,L2-DN,0.6666666666666666,0.46153846153846156,0.0,0.0,0.4444444444444444,0.3076923076923077
76,5,1000,L2,0.0,0.0,0.0,0.0,0.0,0.0
77,5,1000,BIC,0.0,0.0,0.0,0.0,0.0,0.0
78,5,2000,L2-DN,0.8181818181818182,0.6923076923076923,1.0,0.2,0.18181818181818182,0.15384615384615385
79,5,2000,L2,1.0,0.15384615384615385,0.0,0.0,0.0,0.0
80,5,2000,BIC,0.0,0.0,0.0,0.0,0.0,0.0
